"Plan","kWh500","kWh1000","kWh1500","kWh2000","year","month"
" Deep Discount",12.21,11.4,11.4,11.4,7,"May"
" Twelve-Month Commitment",13.61,12.8,12.8,12.8,7,"May"
"Smart Saver 12",13.39,12.65,12.34,12.34,7,"May"
"Smart Saver 24",14.17,13.41,13.08,13.06,7,"May"
"50% Wind",13.79,13.3,13.13,13.05,7,"May"
"100% Wind",13.99,13.5,13.33,13.25,7,"May"
" Sure Choice",13.69,13.2,13.03,12.95,7,"May"
"Sure Choice Variable",13.39,12.9,12.73,12.65,7,"May"
" DIRECT ENERGY",13.5,13,12.83,12.75,7,"May"
" DYNOWATT",13.59,13.1,12.93,12.85,7,"May"
"Simply Better Convenience",12.89,12.4,12.23,12.15,7,"May"
" Simply Better Earth Saver",14.19,13.7,13.52,13.36,7,"May"
" Simply Better Price",13.89,13.4,13.22,13.06,7,"May"
" GEXA ENERGY",15.08,14.1,13.78,13.62,7,"May"
" Green Power",14.92,13.94,13.62,13.46,7,"May"
"Guaranteed",13.78,12.8,12.48,12.32,7,"May"
"100% Wind",16,15.35,15.13,15.02,7,"May"
"Pollution Free",14.55,13.95,13.75,13.65,7,"May"
" Pollution Free Reliable Rate",13.8,13.8,13.8,13.8,7,"May"
"OneRate Flex",13.6,13.6,13.6,13.6,7,"May"
"OneRate Secure",13.1,13.1,13.1,13.1,7,"May"
"OneRate Secure Wind",13.8,13.8,13.8,13.8,7,"May"
" STARTEX POWER",12.8,12.8,12.8,12.8,7,"May"
"Seasonal Savings Twelve-Month",13,13,13,13,7,"May"
"100% EarthWise",17.05,16.02,15.68,15.51,7,"May"
" PowerStart",14.8,14.1,13.76,13.58,7,"May"
"SureValue 36",14.17,13.5,13.17,13.01,7,"May"
" Deep Discount",12.75,11.94,11.94,11.94,7,"May"
" Twelve-Month Commitment",14.01,13.2,13.2,13.2,7,"May"
"Smart Saver 12",13.79,13.05,12.8,12.74,7,"May"
"Smart Saver 24",14.49,13.75,13.5,13.44,7,"May"
"50% Wind",14.29,13.8,13.63,13.55,7,"May"
" 100% Wind",14.39,13.9,13.73,13.65,7,"May"
" Sure Choice",14.09,13.6,13.43,13.35,7,"May"
"Sure Choice Variable",14.19,13.7,13.53,13.45,7,"May"
" DIRECT ENERGY",14.6,14.1,13.93,13.85,7,"May"
" DYNOWATT",13.59,13.1,12.93,12.85,7,"May"
"Simply Better Convenience",13.29,12.8,12.63,12.55,7,"May"
" Simply Better Earth Saver",14.89,14.4,14.2,14.03,7,"May"
" Simply Better Price",14.59,14.1,13.9,13.73,7,"May"
" GEXA ENERGY",15.28,14.4,14.11,13.96,7,"May"
" Green Power",15.42,14.54,14.25,14.1,7,"May"
"Guaranteed",14.42,13.54,13.25,13.1,7,"May"
" 100% Wind",17.59,16.94,16.72,16.61,7,"May"
" Pollution Free",15.99,15.4,15.2,15.1,7,"May"
" Pollution Free Reliable Rate",14.3,14.3,14.3,14.3,7,"May"
"OneRate Flex",15.4,15.4,15.4,15.4,7,"May"
"OneRate Secure",15.2,15.2,15.2,15.2,7,"May"
"Secure Wind",15.5,15.5,15.5,15.5,7,"May"
" STARTEX POWER",13.6,13.6,13.6,13.6,7,"May"
"Seasonal Savings Twelve-Month",13.9,13.9,13.9,13.9,7,"May"
" Freedom",13.44,13.9,13.82,13.74,7,"May"
"Price Guarantee 12",14.79,14.6,14.32,14.12,7,"May"
"SummerSavings 24",13.08,13.54,13.45,13.37,7,"May"
" Deep Discount",12.33,11.4,11.4,11.4,7,"May"
" Twelve-Month Commitment",13.93,13,13,13,7,"May"
"Smart Saver 12",13.59,12.89,12.54,12.54,7,"May"
"Smart Saver 24",13.99,13.29,12.94,12.94,7,"May"
"50% Wind",13.59,13.1,12.93,12.85,7,"May"
" 100% Wind",13.79,13.3,13.13,13.05,7,"May"
" Sure Choice",13.49,13,12.83,12.75,7,"May"
" Sure Choice Variable",13.39,12.9,12.73,12.65,7,"May"
" DYNOWATT",13.59,13.1,12.93,12.85,7,"May"
" Simply Better Renewable",14.79,14.3,14.13,14.05,7,"May"
"Simply Better Savings",14.59,14.1,13.93,13.85,7,"May"
"Simply Better Value",13.23,13.94,14.19,14.32,7,"May"
" GEXA ENERGY",15.41,14.54,14.25,14.11,7,"May"
" Green Power",14.97,14.1,13.81,13.67,7,"May"
"Guaranteed",14.01,13.14,12.85,12.71,7,"May"
" 100% Wind",16.16,15.51,15.29,15.18,7,"May"
" Pollution Free",14.69,14.1,13.9,13.8,7,"May"
" Pollution Free Reliable Rate",13.84,13.84,13.84,13.84,7,"May"
"OneRate Flex",14.1,14.1,14.1,14.1,7,"May"
"OneRate Secure",13.5,13.5,13.5,13.5,7,"May"
" OneRate Secure Wind",14.3,14.3,14.3,14.3,7,"May"
" STARTEX POWER",12.2,12.2,12.2,12.2,7,"May"
"Seasonal Savings Twelve-Month",13.1,13.1,13.1,13.1,7,"May"
" Freedom",13.04,13.6,13.79,13.89,7,"May"
"Price Guarantee 12",14.36,13.94,13.8,13.73,7,"May"
"SummerSavings 24",12.58,13.1,13.28,13.37,7,"May"
" Deep Discount",13.01,12.2,12.2,12.2,7,"May"
" Twelve-Month Commitment",13.85,13.04,13.04,13.04,7,"May"
"Smart Saver 12",13.29,12.55,12.24,12.24,7,"May"
"Smart Saver 24",14.29,13.55,13.24,13.24,7,"May"
"50% Wind",13.59,13.1,12.93,12.85,7,"May"
" 100% Wind",13.79,13.3,13.13,13.05,7,"May"
" Sure Choice",13.49,13,12.83,12.75,7,"May"
"Sure Choice Variable",13.49,13,12.83,12.75,7,"May"
"Clean Texas Wind",17.09,16.6,16.43,16.35,7,"May"
" Direct Electricity",15.79,15.2,15,14.9,7,"May"
" Pure Texas Wind",17.49,17,16.83,16.75,7,"May"
" DYNOWATT",13.59,13.1,12.93,12.85,7,"May"
"Simply Better Convenience",13.19,12.7,12.53,12.45,7,"May"
" Simply Better Earth Saver",14.69,14.2,14.02,13.84,7,"May"
" Simply Better Price",14.39,13.9,13.72,13.54,7,"May"
" GEXA ENERGY",14.51,13.51,13.17,13,7,"May"
" Green Power",16.61,15.61,15.27,15.1,7,"May"
"Guaranteed",13.41,12.41,12.07,11.9,7,"May"
" 100% Wind",18.39,17.74,17.52,17.41,7,"May"
" Pollution Free",16.72,16.12,15.93,15.83,7,"May"
" Pollution Free Reliable Rate",15.8,15.8,15.8,15.8,7,"May"
"OneRate Flex",14.9,14.9,14.9,14.9,7,"May"
"OneRate Secure",14.2,14.2,14.2,14.2,7,"May"
" OneRate Secure Wind",15,15,15,15,7,"May"
" STARTEX POWER",13.2,13.2,13.2,13.2,7,"May"
"Seasonal Savings Twelve-Month",13.9,13.9,13.9,13.9,7,"May"
" Freedom",15.04,14.57,14.45,14.39,7,"May"
"Price Guarantee 12",14.96,14.28,13.98,13.83,7,"May"
"SummerSavings 24",13.55,13.55,13.55,13.55,7,"May"
" Deep Discount",13.71,12.9,12.9,12.9,7,"May"
" Twelve-Month Commitment",14.01,13.2,13.2,13.2,7,"May"
"Smart Saver 12",13.99,13.25,12.94,12.94,7,"May"
"Smart Saver 24",14.19,13.45,13.14,13.14,7,"May"
"50% Wind",12.59,12.1,11.93,11.85,7,"May"
" 100% Wind",12.79,12.3,12.13,12.05,7,"May"
" Sure Choice",12.49,12,11.83,11.75,7,"May"
"Sure Choice Variable",12.09,11.6,11.43,11.35,7,"May"
" DYNOWATT",13.59,13.1,12.93,12.85,7,"May"
"Simply Better Convenience",13.99,13.5,13.33,13.25,7,"May"
" Simply Better Earth Saver",15.29,14.8,14.59,14.41,7,"May"
" Simply Better Price",14.99,14.5,14.29,14.11,7,"May"
" GEXA ENERGY",16.16,14.75,14.27,14.04,7,"May"
" Green Power",17.22,15.81,15.33,15.1,7,"May"
"Guaranteed",14.56,13.15,12.67,12.44,7,"May"
"100 % Wind",18.57,17.91,17.7,17.59,7,"May"
" Pollution Free",16.88,16.29,16.09,15.99,7,"May"
" Pollution Free Reliable Rate",16,16,16,16,7,"May"
"OneRate Flex",15.1,15.1,15.1,15.1,7,"May"
"OneRate Secure",14.4,14.4,14.4,14.4,7,"May"
" OneRate Secure Wind",15.2,15.2,15.2,15.2,7,"May"
" STARTEX POWER",13.5,13.5,13.5,13.5,7,"May"
"Seasonal Savings Twelve-Month",13.9,13.9,13.9,13.9,7,"May"
" Freedom",15.02,14.68,14.59,14.54,7,"May"
"Price Guarantee 12",15.98,14.8,14.37,14.16,7,"May"
"SummerSavings 24",13.77,13.77,13.77,13.77,7,"May"
"Clean Texas Wind",17.59,17.1,16.93,16.85,7,"May"
" Direct Electricity",15.89,15.35,15.16,15.07,7,"May"
" Pure Texas Wind",18.29,17.8,17.63,17.55,7,"May"
