"Utility.ID","Utility.Name","Plant.Code","Technology","Plant.Name","Energy.Source.1","Prime.Mover","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","retire"
"10000","Kansas City Power & Light Co",2080,"Conventional Steam Coal","Montrose","SUB","ST",188,1958,1958,1958,1
"10171","Kentucky Utilities Co",1357,"Conventional Steam Coal","Green River","BIT","ST",263.6,1953,1959,1950,1
"10171","Kentucky Utilities Co",1360,"Conventional Steam Coal","Pineville","BIT","ST",37.5,1951,1951,1951,1
"10171","Kentucky Utilities Co",1361,"Conventional Steam Coal","Tyrone","BIT","ST",75,1953,1953,1953,1
"109","Ag Processing Inc",10223,"Conventional Steam Coal","AG Processing Inc","SUB","ST",8.5,1982,1982,1982,1
"11142","City of Logansport - (IN)",1032,"Conventional Steam Coal","Logansport","BIT","ST",43,1961,1964,1958,1
"11249","Louisville Gas & Electric Co",1363,"Conventional Steam Coal","Cane Run","BIT","ST",644.6,1966,1969,1962,1
"11479","Madison Gas & Electric Co",3992,"Conventional Steam Coal","Blount Street","BIT","ST",87.5,1941,1953,1925,1
"11571","Manitowoc Public Utilities",4125,"Conventional Steam Coal","Manitowoc","BIT","ST",15,1938,1941,1935,1
"11732","City of Marshall - (MO)",2144,"Conventional Steam Coal","Marshall (MO)","BIT","ST",22.5,1962,1967,1956,1
"1182","BASF Corporation",10320,"Conventional Steam Coal","Enka","BIT","ST",16.3,1957,1984,1937,1
"12341","MidAmerican Energy Co",1081,"Conventional Steam Coal","Riverside","SUB","ST",5,1949,1949,1949,1
"12341","MidAmerican Energy Co",1082,"Conventional Steam Coal","Walter Scott Jr Energy Center","SUB","ST",130.6,1956,1958,1954,1
"12341","MidAmerican Energy Co",1091,"Conventional Steam Coal","George Neal North","SUB","ST",496.2,1968,1972,1964,1
"12384","Midwest Generations EME LLC",867,"Conventional Steam Coal","Crawford","SUB","ST",597.4,1960,1961,1958,1
"12384","Midwest Generations EME LLC",883,"Conventional Steam Coal","Waukegan","SUB","ST",121,1952,1952,1952,1
"12384","Midwest Generations EME LLC",884,"Conventional Steam Coal","Will County","SUB","ST",670.4,1956,1957,1955,1
"12384","Midwest Generations EME LLC",886,"Conventional Steam Coal","Fisk Street","SUB","ST",374,1968,1968,1968,1
"12647","ALLETE, Inc.",10075,"Conventional Steam Coal","Taconite Harbor Energy Center","SUB","ST",84,1967,1967,1967,1
"12792","NRG New York LLC",2629,"Conventional Steam Coal","Lovett","BIT","ST",380.1,1968,1969,1966,1
"12796","Monongahela Power Co",3942,"Conventional Steam Coal","FirstEnergy Albright","BIT","ST",278.2,1953,1954,1952,1
"12796","Monongahela Power Co",3945,"Conventional Steam Coal","FirstEnergy Rivesville","BIT","ST",109.7,1947,1951,1943,1
"12796","Monongahela Power Co",3946,"Conventional Steam Coal","FirstEnergy Willow Island","BIT","ST",213.2,1954,1960,1949,1
