"Utility.ID","Plant.Code","Prime.Mover","Energy.Source.1","Utility.Name","Technology","Plant.Name","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","NERC.Region","Net.Generation.MWh","Elec.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
"10000",1241,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","La Cygne",1578,1975,1977,1973,"SPP",6630238,70981182,0.479642892280269,10705.6763271545,2015
"10000",2079,"CA","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",146,2000,2000,2000,"SPP",15513,29434,0.0121293863764309,1897.37639399214,2015
"10000",2079,"CT","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",176,1997,1997,1997,"SPP",53054,677171,0.0344113221253632,12763.8066875259,2015
"10000",2079,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Hawthorn",154,2000,2000,2000,"SPP",22117,306139,0.0163946213603748,13841.7959036036,2015
"10000",2079,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Hawthorn",594.3,1969,1969,1969,"SPP",3473794,35648210,0.667258668154162,10262.0391422174,2015
"10000",2080,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Montrose",564,1960.66666666667,1964,1958,"SPP",1408019,16204146,0.284987167654393,11508.4711214834,2015
"10000",2081,"GT","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast (MO)",484,1975,1977,1972,"SPP",0,0,0,NA,2015
"10000",2081,"IC","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast (MO)",2,1985,1985,1985,"SPP",862,41893,0.0492009132420091,48599.7679814385,2015
"10000",56351,"WT","WND","Kansas City Power & Light Co","Onshore Wind Turbine","Spearville",148.5,2008,2010,2006,"SPP",461099,4296981,0.354457051489015,9318.9987399669,2015
"10000",6065,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Iatan",1640,1995,2010,1980,"SPP",9375792,88463302,0.652619445372536,9435.28845349811,2015
"10000",7928,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Osawatomie",90,2003,2003,2003,"SPP",3616,56612,0.00458650431253171,15655.9734513274,2015
"10000",7929,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","West Gardner",365.2,2003,2003,2003,"SPP",34974,475518,0.0109322720520938,13596.328701321,2015
"10004",50329,"IC","OBG","King County Dept-Natural Res","Other Waste Biomass","West Point Treatment Plant",4.6,2012,2012,2012,"WECC",15865,164264,0.393711534643637,10353.8606996533,2015
"10005",1240,"GT","NG","Kansas Gas & Electric Co","Natural Gas Fired Combustion Turbine","Gordon Evans Energy Center",375.1,2000.33333333333,2001,2000,"SPP",72582,846847,0.0220890867458176,11667.4519853407,2015
"10005",1240,"IC","DFO","Kansas Gas & Electric Co","Petroleum Liquids","Gordon Evans Energy Center",2.9,1969,1969,1969,"SPP",17,168,0.000669185954967722,9882.35294117647,2015
"10005",1240,"ST","NG","Kansas Gas & Electric Co","Natural Gas Steam Turbine","Gordon Evans Energy Center",526,1964,1967,1961,"SPP",210872,2993631,0.0457645363473792,14196.4367009371,2015
"10005",1242,"ST","NG","Kansas Gas & Electric Co","Natural Gas Steam Turbine","Murray Gill",228,1957.5,1959,1956,"SPP",35273,677111,0.0176605183048947,19196.2974513084,2015
"10023",2500,"CA","NG","TC Ravenswood LLC","Natural Gas Fired Combined Cycle","Ravenswood",80,2003,2003,2003,"NPCC",466610,0,0.665824771689498,0,2015
"10023",2500,"CT","NG","TC Ravenswood LLC","Natural Gas Fired Combined Cycle","Ravenswood",170,2003,2003,2003,"NPCC",1047181,11108978,0.703183588503895,10608.460237533,2015
