"Plan","kWh500","kWh1000","kWh1500","kWh2000","year","month"
" 100% Renewable",14.01,13.2,13.2,13.2,"07","Jun"
" Deep Discount",13.21,12.4,12.4,12.4,"07","Jun"
"Commitment",13,12.19,12.19,12.19,"07","Jun"
" Twelve-Month Commitment",13.61,12.8,12.8,12.8,"07","Jun"
"Smart Saver 12",13.99,13.23,12.88,12.84,"07","Jun"
"Smart Saver 24",14.17,13.41,13.08,13.06,"07","Jun"
"50% Wind",13.69,13.2,13.03,12.95,"07","Jun"
"100% Wind",13.79,13.3,13.13,13.05,"07","Jun"
" Sure Choice",13.49,13,12.83,12.75,"07","Jun"
"Sure Choice Variable",14.49,14,13.83,13.75,"07","Jun"
" DIRECT ENERGY",13.5,13,12.83,12.75,"07","Jun"
" DYNOWATT",13.59,13.1,12.93,12.85,"07","Jun"
"Simply Better Convenience",14.99,14.5,14.33,14.25,"07","Jun"
" Simply Better Earth Saver",14.19,13.7,13.52,13.36,"07","Jun"
" Simply Better Price",13.89,13.4,13.22,13.06,"07","Jun"
" GEXA ENERGY",15.08,14.1,13.78,13.62,"07","Jun"
" Green Power",14.92,13.94,13.62,13.46,"07","Jun"
"Guaranteed",13.78,12.8,12.48,12.32,"07","Jun"
"100% Wind",16,15.35,15.13,15.02,"07","Jun"
"Pollution Free",14.55,13.95,13.75,13.65,"07","Jun"
" Pollution Free Reliable Rate",13.8,13.8,13.8,13.8,"07","Jun"
"OneRate Flex",13.7,13.7,13.7,13.7,"07","Jun"
"OneRate Secure",13.7,13.7,13.7,13.7,"07","Jun"
"OneRate Secure Wind",13.8,13.8,13.8,13.8,"07","Jun"
" STARTEX POWER",12.8,12.8,12.8,12.8,"07","Jun"
"Seasonal Savings Twelve-Month",12.6,12.6,12.6,12.6,"07","Jun"
"100% EarthWise",17.05,16.02,15.68,15.51,"07","Jun"
" PowerStart",14.8,14.1,13.76,13.58,"07","Jun"
"SureValue 36",14.17,13.5,13.17,13.01,"07","Jun"
" 100% Renewable",14.41,13.6,13.6,13.6,"07","Jun"
" Deep Discount",13.11,12.3,12.3,12.3,"07","Jun"
"Commitment",13.05,12.24,12.24,12.24,"07","Jun"
" Twelve-Month Commitment",14.01,13.2,13.2,13.2,"07","Jun"
"Smart Saver 12",14.59,13.85,13.6,13.54,"07","Jun"
"Smart Saver 24",14.49,13.75,13.5,13.44,"07","Jun"
"50% Wind",14.19,13.7,13.53,13.45,"07","Jun"
" 100% Wind",14.39,13.9,13.73,13.65,"07","Jun"
" Sure Choice",14.09,13.6,13.43,13.35,"07","Jun"
"Sure Choice Variable",15.19,14.7,14.53,14.45,"07","Jun"
