County,Fuel,cap_MW
Pecos,WIND,7
Nolan,WIND,6
Coke,WIND,0
Taylor,WIND,0
Taylor,WIND,0
Nolan,WIND,7
Nolan,WIND,0
Sterling,WIND,32
Borden,WIND,0
Sterling,WIND,0
Sterling,WIND,9
Taylor,WIND,0
Taylor,WIND,0
Taylor,WIND,44
Sterling,WIND,0
Sterling,WIND,0
Taylor,WIND,0
Taylor,WIND,44
Victoria,GAS,100
Scurry,WIND,152
Wilbarger,WIND,102
Irion,WIND,300
Zapata,WIND,400
Andrews,SOLAR,150
Jim Hogg,WIND,300
Crockett,WIND,400
Hale,WIND,122
Hale,WIND,200
La Salle,WIND,200
Schleicher,SOLAR,50
Hopkins,SOLAR,45
Pecos,SOLAR,200
Winkler,SOLAR,150
Winkler,SOLAR,300
Kaufman,SOLAR,150
Fort Bend,SOLAR,100
Brazoria,SOLAR,200
Pecos,SOLAR,180
Pecos,SOLAR,180
Pecos,SOLAR,180
Brazoria,SOLAR,100
Zavala,SOLAR,42
Bee,SOLAR,50
Hunt,SOLAR,50
Crane,SOLAR,150
Hall,SOLAR,50
Fannin,SOLAR,82
Victoria,GAS,100
Harris,GAS,100
Crane,SOLAR,400
Victoria,GAS,100
Nolan,GAS,280
Andrews,SOLAR,600
Fort Bend,SOLAR,240
Scurry,WIND,301
Crockett,WIND,250
Borden,SOLAR,250
Borden,SOLAR,300
Foard,WIND,350
Crane,SOLAR,207
Nolan,SOLAR,200
Kent,SOLAR,750
Pecos,SOLAR,130
Pecos,SOLAR,57
Baylor,WIND,80
Castro,SOLAR,100
Eastland,WIND,-7
Willacy,WIND,201
Randall,WIND,150
Ector,SOLAR,180
Cherokee,GAS,1156
Nolan,WIND,175
Glasscock,WIND,255
Hardeman,WIND,301
Crockett,WIND,500
Childress,SOLAR,241
Armstrong,WIND,253
Cameron,WIND,145
Pecos,WIND,-13
Limestone,WIND,300
Hidalgo,WIND,51
Cameron,SOLAR,150
Mitchell,SOLAR,200
Callahan,WIND,100
Upton,SOLAR,150
Zapata,WIND,202
Reeves,SOLAR,48
Andrews,SOLAR,60
Brazoria,GAS,135
Castro,WIND,155
Deaf Smith,SOLAR,400
Winkler,SOLAR,150
Jim Wells,SOLAR,113
Brewster,SOLAR,61
Jackson,SOLAR,120
Willacy,WIND,227
Starr,WIND,202
Menard,WIND,200
Hidalgo,WIND,200
Hidalgo,WIND,200
Concho,SOLAR,360
Pecos,SOLAR,250
Refugio,WIND,201
Hardeman,WIND,200
Limestone,WIND,600
Culberson,SOLAR,150
San Patricio,WIND,200
Zavala,SOLAR,158
Maverick,SOLAR,180
Hidalgo,WIND,200
Hidalgo,WIND,200
Knox,WIND,278
Knox,WIND,278
Hidalgo,WIND,200
Hidalgo,WIND,200
Runnels,SOLAR,125
Kaufman,SOLAR,100
Dickens,SOLAR,200
Nolan,SOLAR,100
Willacy,WIND,200
Willacy,WIND,200
Calhoun,GAS,240
Upton,SOLAR,350
Wharton,SOLAR,150
Val Verde,WIND,500
Borden,SOLAR,225
Clay,WIND,200
Crockett,SOLAR,400
Clay,WIND,100
Andrews,WIND,200
Crosby,WIND,251
Nolan,WIND,180
Menard,WIND,250
San Patricio,WIND,200
Brooks,WIND,400
Gray,WIND,200
Briscoe,WIND,200
Cameron,WIND,150
Deaf Smith,SOLAR,100
Crosby,SOLAR,150
Starr,WIND,200
Brewster,SOLAR,150
Brewster,SOLAR,50
Brewster,SOLAR,50
Upton,SOLAR,200
Brewster,SOLAR,50
Mills,WIND,300
Hardeman,WIND,200
Castro,WIND,150
Castro,WIND,202
Castro,WIND,202
Kenedy,WIND,201
Randall,WIND,200
Webb,SOLAR,200
San Patricio,WIND,201
Kent,WIND,246
Matagorda,WIND,150
Briscoe,WIND,200
Brazoria,SOLAR,120
Childress,SOLAR,200
Frio,SOLAR,113
Castro,SOLAR,400
Wharton,SOLAR,100
Medina,SOLAR,30
Uvalde,SOLAR,25
Williamson,SOLAR,20
Young,WIND,-27
Menard,SOLAR,195
Nueces,SOLAR,216
Bosque,SOLAR,188
Zavala,SOLAR,98
Ellis,SOLAR,60
Cottle,SOLAR,30
Hardeman,SOLAR,45
Cottle,SOLAR,45
Cottle,SOLAR,60
Uvalde,SOLAR,20
Haskell,SOLAR,40
Glasscock,WIND,255
Childress,SOLAR,200
Castro,WIND,152
Crockett,WIND,201
Crockett,WIND,201
Grayson,GAS,543
Gray,WIND,250
Knox,SOLAR,200
Hill,GAS,800
