id,order_id,product_id,quantity,price
248,194,180,1,4624
265,208,844,1,3366
267,208,834,1,3366
346,264,1079,1,5814
370,285,1419,1,4046
432,334,605,1,5433
440,341,1579,1,3026
465,362,329,1,2713
473,369,1575,1,3026
474,369,1577,1,3026
497,390,1659,2,1224
500,390,1662,2,1224
503,390,1665,2,1224
526,404,1345,1,1809
535,411,1734,1,2584
547,418,1466,1,2380
563,425,1660,1,1224
577,432,1634,1,3026
587,439,1754,1,3454
605,453,142,1,1809
637,481,754,1,8126
680,509,1577,1,3026
689,516,1704,1,2414
766,572,2162,1,4250
773,579,1732,1,2584
782,586,2091,1,1530
800,600,1517,1,4468
821,621,1576,2,3026
830,628,2169,1,3896
900,684,2395,1,2890
953,726,2443,1,1836
973,740,146,1,1809
1093,824,2447,1,1836
1151,859,2290,1,6086
1152,859,2297,1,6086
1168,866,2679,1,2713
1176,873,2804,1,639
1178,873,2808,1,639
1215,901,1628,1,4502
1247,929,2861,1,4964
1261,936,2737,1,3400
1325,985,3219,1,1693
1341,999,2717,1,3080
1373,1020,2137,1,2040
1381,1027,3218,1,1693
1399,1041,3127,1,2720
1416,1055,2462,2,2720
1457,1083,3076,1,1836
1458,1083,3077,1,1836
1470,1090,2626,1,3740
1532,1139,3636,1,1292
1533,1139,3631,1,1292
1544,1146,2460,1,2720
1567,1160,3437,1,8126
1569,1160,3439,1,8126
1611,1188,3076,1,1836
1631,1202,3798,1,680
1632,1202,3795,1,680
1657,1216,3076,1,1836
1699,1251,3581,1,1870
1709,1258,3750,1,3053
1765,1293,3084,1,3502
1842,1342,3489,1,2210
1869,1356,2948,1,10846
1870,1356,2949,1,10846
1886,1370,3751,1,3053
1946,1405,4381,1,1190
1956,1412,4065,1,932
1982,1433,3999,1,1224
1997,1447,3084,1,3502
2021,1461,1891,1,3060
2074,1503,4151,1,2244
2097,1517,4654,1,2040
2140,1552,4489,1,1809
2174,1580,4590,1,5440
2224,1615,4150,1,2244
2266,1650,3080,1,1836
2290,1671,4833,1,2176
2350,1720,4820,1,1496
2372,1734,4155,1,2244
2381,1741,4659,1,2040
2448,1790,4151,1,2244
2480,1818,2713,1,3080
2509,1839,4820,1,1496
2559,1867,4370,1,3060
2585,1888,5322,1,816
2602,1902,3745,1,2380
2603,1902,3749,1,2380
2667,1951,4769,1,3060
2670,1951,4772,1,3060
2672,1951,4768,1,3060
2682,1951,4772,1,3060
2684,1951,4771,1,3060
2685,1951,4770,1,3060
2688,1951,4767,1,3060
2704,1965,4821,1,1496
2722,1979,5426,2,687
2730,1986,4361,1,3060
2770,2021,5324,1,816
2778,2028,5700,1,2890
2878,2098,4818,1,1496
2885,2105,4552,1,2244
2892,2112,5342,1,4243
2907,2126,2286,1,4930
2923,2133,4199,1,2618
2938,2147,5787,1,5780
2964,2161,5965,1,1020
2992,2182,5185,1,1530
3054,2231,5675,1,2210
3071,2238,6174,1,5644
3091,2252,5510,1,5746
3106,2266,5854,1,1768
3161,2301,3832,1,5780
3163,2301,3835,1,5780
3193,2322,6103,1,1700
3200,2329,5189,1,1700
3207,2336,4547,1,2244
3216,2343,6279,1,1578
3262,2378,6278,1,1578
3331,2434,5675,1,2210
3339,2441,6103,1,1700
3391,2476,4540,1,3475
3418,2497,6374,1,1788
3475,2546,6662,1,1788
3482,2553,5458,1,5814
3526,2567,6762,1,3393
3534,2574,6285,1,1578
3535,2574,6288,1,1578
3552,2581,6536,1,8262
3584,2602,6790,1,2890
3606,2609,2473,1,2033
3679,2658,4741,1,6793
3808,2763,6103,2,1700
3839,2784,6974,1,3597
3892,2819,6550,1,2373
3917,2833,6127,1,2380
3925,2840,6946,1,3393
3940,2854,6871,1,4916
3986,2896,6542,1,8806
4061,2952,6643,1,3740
4079,2966,6842,1,8738
4097,2980,5701,1,6460
4109,2987,6284,1,1578
4158,3022,3115,1,1666
4165,3029,6026,2,1788
4181,3043,6168,1,3740
4205,3064,7341,1,2720
4248,3099,5649,1,3400
4266,3113,7385,1,5868
4269,3113,7391,1,5868
4330,3155,7828,1,3740
4338,3162,7593,1,2210
4354,3176,7493,1,2516
4389,3204,6169,1,3740
4403,3211,7298,1,476
266,208,831,1,3366
299,236,1143,1,2652
345,264,1080,1,5814
363,278,1162,1,6596
378,292,934,1,3196
393,306,1574,1,3026
394,306,1577,1,3026
407,313,1578,1,3026
421,327,1461,1,2380
439,341,1575,1,3026
488,383,1578,1,3026
501,390,1663,2,1224
504,390,1666,2,1224
512,397,1286,1,2033
564,425,1663,1,1224
598,446,990,1,8670
612,460,146,1,1809
646,488,1463,1,2380
669,502,984,1,8670
678,509,1574,1,3026
679,509,1574,1,3026
696,523,1896,1,3060
709,530,1368,1,3366
745,558,1343,1,1809
746,558,139,1,1809
855,649,1148,1,2652
872,663,2202,1,2380
923,698,2205,1,2380
938,712,2462,1,2720
984,747,2619,1,3740
1047,796,2273,1,4753
1056,803,2463,1,2720
1083,817,2677,1,2713
1092,824,2446,1,1836
1094,824,2441,1,1836
1098,824,163,1,2543
1117,831,1758,1,3454
1180,873,2827,1,639
1200,887,2882,1,3740
1222,908,2441,1,1836
1274,943,2923,1,19006
1294,957,2999,1,2890
